BRAND,VERTICAL,WEBSITE,AD_LIBRARY_URL,ACTIVE_ADS_COUNT,AD_SCALE_EVIDENCE,LANDING_PAGE_TYPE,PRODUCTS_OFFERED,HERO_FORMULATION,GENERIC_OR_COMPOUNDED,PRICING_AS_LISTED,EFFECTIVE_PRICE_PER_MONTH,INTRO_OR_TRIAL_OFFER,DISCOUNTS_AND_BUMPS,GUARANTEE,CONSULT_FEE,PRIMARY_ANGLE,CTA_WORDING,CRO_ELEMENTS,FUNNEL_MODEL,SUBSCRIPTION_STRUCTURE,COMPANY_SCALE,VERDICT_NOTES,SOURCE_AND_DATE
Winona (By Winona),Menopause / HRT telehealth,bywinona.com,AdLib q=bywinona,~440,Meta Ad Library exact-phrase query on the brand token 'bywinona' retu…,Quiz-first funnel,"HRT delivered as body cream, vaginal cream, oral and patch formats, plus a ph…",Bioidentical hormone therapy; specific strengths are not published pr…,Compounded,Not published pre-quiz. The site states 'We do not currently work directly with insurance compa…,UNVERIFIED,"Start My Free Visit, a free initial visit",HSA/FSA reimbursement positioning,'Pause or cancel anytime'; no money-back guarantee,Free initial visit,Menopause relief without blood tests and without insurance friction,Get Started / Explore HRT / Take the Quiz /…,"5-star Trustpilot rating displayed alongside '100,000+ Happy Patients'; FDA-a…",Quiz to free visit to Rx subscription,Subscription with pause or cancel anytime," 100,000+ patients. Reported as largely self-funded from compan…","THE BEST CRO TEMPLATE IN THE SEGMENT AND THE ONE TO STUDY CLOSEST. ~440 active ads, a free first visit, 'no blood tests…",https://www.bywinona.com/ + https://hitconsultant.net/2026/07/21/winona-l…
Alloy Women's Health,Menopause / women 40+ telehealth,myalloy.com,AdLib q=Alloy%20Women,~4,Meta Ad Library exact-phrase query returned ~4 active US ads on 2026-…,Plan-finder funnel,"Estradiol pill, Evamist spray, estradiol gel, patch and vaginal cream; M4 Fac…",M4 Face Cream Rx built on estriol plus peptide is the distinctive pro…,Compounded and brand,Not published on the homepage. Positioned as 'transparent pricing' with 'easy cash-pay' and FSA…,UNVERIFIED,None,FSA/HSA card acceptance used as an effective discount lever,None stated,Not published,Solving the specific hormonal problems of women over 40 with prescrip…,Start Your Plan / Find Your Plan / Start Now," outcome statistics used in place of reviews, including '95% of Alloy custome…",Plan quiz to Rx subscription,Subscription; cadence not published,"$3.3M seed in 2021, then a $16M Series A led by Kairos HQ, roug…",PROOF A SPECIALIST CAN WIN UNDERFUNDED. Alloy competes against $100M+ rivals on roughly $21M by owning one buyer precis…,https://myalloy.com/ + https://www.forbes.com/sites/geristengel/2026/06/2…
Midi Health,Menopause and perimenopause virtu…,joinmidi.com,AdLib q=Midi%20Health,~110,Meta Ad Library exact-phrase query returned ~110 active US ads on 202…,Book-a-visit clinical site rather than a pr…,"Menopause and perimenopause management, weight management, sexual wellness, m…",Midi Custom Rx compounded medications; no single published hero formu…,Compounded and brand,"Cash prices are not published. The model is insurance-billed, available in all 50 states with c…",UNVERIFIED; insurance-dependent,None,None,None stated,Not published; users are routed t…,Insurance-covered specialist menopause care rather than cash-pay ecom…,Book a Visit / Book Your Virtual Visit / Ch…,Roughly 25 named patient testimonials; insurance-acceptance messaging as the…,Coverage check to booked virtual visit to Rx,Visit-based and insurance-billed rather than a product subs…,"$60M Series B in April 2024 bringing total funding to $100M, fo…",THE INSURANCE-BILLED ALTERNATIVE. Midi proves a well-funded clinical brand at $100M+ can win this buyer without cash-pa…,https://www.joinmidi.com/ + https://www.prnewswire.com/news-releases/midi…
Elektra Health,Menopause telehealth,elektrahealth.com,AdLib q=Elektra%20Health,~18,Meta Ad Library exact-phrase query returned ~18 active US ads on 2026…,Informational site with an external get-sta…,Telemedicine care including a 30-minute initial video visit with a board-cert…,No product hero; the offer is clinical care rather than a formulation,Not applicable,Not published on the individuals page,UNVERIFIED,None,"Employer-sponsored and insurance-covered routes, with EmblemHealth named in ad…",None stated,Not published; a 30-minute initia…,Nobody should navigate menopause alone; education and community along…,Get started,LegitScript approval seal; a dedicated /reviews page; community and 1:1 coach…,Content to get-started hub to visit,Membership with clinician access; price not published,Raised a $3.3M seed round reported February 2024. The B2B emplo…,SMALL AND PARTLY B2B. Their ad copy leading with a named insurer rather than a symptom is the opposite of a direct-resp…,https://www.elektrahealth.com/for-individuals/ + https://www.axios.com/pr…
Evernow,Menopause telehealth,evernow.com,AdLib q=Evernow,0 brand-owned (query returned ~8…,Meta Ad Library exact-phrase query returned ~8 active US results on 2…,Care-plan landing page,"Hormone therapy (estradiol patch, estradiol pill, progesterone, norethindrone…",Facial estriol cream is the closest adjacent hero; there is no hirsut…,Brand and generic,"Membership starting at $35/month for unlimited clinician messaging and ongoing prescriptions, p…",$35/month membership plus medication cost,Vaginal estrogen cream listed as Free,"Insurance-eligible visits with Blue Cross/Blue Shield, Anthem, UnitedHealthcare…",None stated,A one-time virtual visit is price…,Clinician-led menopause care with insurance eligibility,Get care / Get your care plan / Book a virt…, '95% of Evernow members feel better in 2 months'; testimonials carrying a 'V…,Care plan to visit to Rx,$35/month membership or per-visit,Raised a $28.5M round in 2022 backed by investors including Spa…,A FADED COMPETITOR. Well-funded and celebrity-backed in 2022 but running no confirmable paid acquisition today. The $35…,https://www.evernow.com/ + https://www.fortune.com/2022/04/06/spacex-pres…
KEYWORD SWEEP - ENGLISH (evidence row),Meta Ad Library measurement,n/a,AdLib q=hirsutism,See counts,"ALL COUNTS PULLED 2026-08-14, US, active_status=active, ad_type=all…",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Keyword demand measurement,n/a,n/a,n/a,n/a,n/a,"READ THE TIGHT KEYWORDS ONLY. ""hirsutism"" (~62) and ""eflornithine"" (~34) are clean clinical intent. ""chin hair"" (~27,00…",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&co…
KEYWORD SWEEP - SPANISH (evidence row),Meta Ad Library measurement,n/a,AdLib q=vello%20en%20la%20cara,See counts,"SPANISH COUNTS PULLED 2026-08-14, US, active, all ad types. ""vello fa…",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Spanish-language competitive measurement,n/a,n/a,n/a,n/a,n/a,THE 'NO SPANISH COMPETITOR' CLAIM IS REFUTED AS WRITTEN AND MUST BE REWRITTEN BEFORE IT GOES TO ANYONE. Velare Beauty…,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&co…
Orgatics ('Reset' brand portfolio: Fung…,Multi-condition supplement advert…,UNVERIFIED,AdLib q=Orgatics,"~8,400","~8,400 active US results on 2026-08-14. The visible advertiser mix ex…",Long-form advertorial per condition,"One supplement/protocol SKU per body complaint, one brand name per complaint",,Supplement (non-Rx),UNVERIFIED in this pass,,,,UNVERIFIED. A 90-day full refund was recorded for Orgatics in the earlier…,,Condition-specific 'reset' protocol; money-wasted and 'what doctors d…,,,Advertorial -> cart,,At least 7 distinct condition brands running simultaneously off…,"THE MOST IMPORTANT STRUCTURAL FINDING OUTSIDE THE VURET TEARDOWN. This is a brand FACTORY: one operator, one advertoria…",Meta Ad Library 2026-08-14
Vault Health,N/A - EXITED HEALTHCARE. Now back…,https://vaulthealth.com,AdLib q=vault%20health,0 on exact phrase (834 unordered…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,N/A - the site is now a B2B employment-scre…,"N/A - no TRT, hormone or prescription products remain. Navigation covers only…",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A - now sells B2B workforce screening to employers.,N/A,N/A,N/A,N/A,Corporate chain stated on-site: 'Vault Workforce Screening is p…,"DEAD FOR THIS CATEGORY - mark N/A, not UNVERIFIED. Vault did not rebrand within telehealth; it exited entirely and is n…",https://vaulthealth.com ; https://www.vaulthealth.com/ ; Meta Ad Library…
Smarter Rx,NO SUCH DTC TELEHEALTH BRAND FOUND,UNVERIFIED - smarterrx.com does n…,AdLib q=smarter%20rx,"262 unordered, but 0 on exact phr…",Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNVERIFIED - no company identified.,"ACTION NEEDED BEFORE THIS SHEET SHIPS. Extensive search across 'Smarter Rx', 'SmarterRx', 'getsmarterrx' and domain gue…",DNS lookup of smarterrx.com (does not resolve) ; https://smarterrxcard.co…
WowMD,NOT TELEHEALTH - over-the-counter…,https://www.wowmd.com,AdLib q=wowmd,0,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Standard Shopify ecommerce (homepage/collec…,~200 OTC supplements across 15 categories. Featured: Sea Essence Omega 3 Fish…,"N/A - these are OTC dietary supplements, not pharmaceuticals. No mg-s…",N/A - neither compounded…,Individual products $33-$89. Bundle example: 'All-Day Fat Burn Trio' $114.75 (from $135). Free…,$33-$89 per product one-time; up to 30% off with Su…,'SUBSCRIBE & SAVE UP TO 30%'; 'FREE U.S. SHIPPING ON ORDERS…,Subscribe & Save up to 30% is the main mechanism. No checkout bump captured.,'60-DAY MONEY-BACK GUARANTEE' - the strongest and clearest guarantee in t…,$0 - no consult exists. This is a…,"Wellness and longevity via supplements, sold on reviews and guarantee…","'View product', 'Add to wishlist', 'Shop Al…",Homepage aggregate '4.7 out of 5 stars from 50K+ reviews' with per-product ra…,Straight ecommerce: browse -> cart -> checkout. No…,"Optional Subscribe & Save, standard ecommerce. Cancellation…","Private, no disclosed revenue, funding or customer count - UNVE…",FLAG FOR THE PARTNER: WowMD does not belong in an Rx comp set - it sells no prescription product and has no medical con…,https://www.wowmd.com/ ; https://www.wowmd.com/pages/get-started ; https:…
The PCOS Doctor,"PCOS / facial hair (advertiser, d…",UNVERIFIED,AdLib q=hirsutism,13 (rendered subset),"13 of 58 rendered cards on ""hirsutism"" (~62 total active US); also 4…",UNVERIFIED,UNVERIFIED - practitioner-persona ad account,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Practitioner-authority persona (""doctor"" framing) applied to PCOS sym…",UNVERIFIED,Authority/persona-led creative,UNVERIFIED,UNVERIFIED,UNVERIFIED,"AD-LIBRARY VERIFIED ADVERTISER, DESTINATION NOT VERIFIED. Deliberately not linked to any brand - search suggested an Ov…",Meta Ad Library https://www.facebook.com/ads/library/?active_status=activ…
Theralogix (Ovasitol),PCOS supplement (clinical/practit…,theralogix.com,AdLib q=PCOS%20hair,UNVERIFIED at keyword level,"Not isolated in the rendered subset of the ""PCOS hair"" sweep (~2,200…",Product page,Ovasitol Inositol Powder,Myo-inositol + D-chiro-inositol 40:1,Non-Rx supplement,"$73.68 (reduced from $86.68), 90-day supply",$24.56/mo ($73.68 over 90 days),None,Practitioner referral codes (TRC program),None published on product page,None (no Rx),"Clinically-referenced hormone, insulin and ovarian support. NOTABLE:…","""Add to Cart""",Clinical/practitioner credibility; no reviews or ratings on page; no urgency…,Practitioner referral -> DTC purchase,Autoship not shown on this page,Established practitioner-channel supplement brand,THE CLINICAL BASELINE AT $24.56/MO AND THE ONLY BRAND HONEST ENOUGH NOT TO CLAIM A HAIR BENEFIT. That restraint is the…,https://www.theralogix.com/products/ovasitol-inositol-powder 2026-08-14
OvaFit,PCOS supplement (creator-led),ovafit.org,AdLib q=PCOS%20hair,UNVERIFIED at keyword level,Not isolated in rendered subsets. Audience-led (podcast/app) rather t…,DTC storefront + app membership,Inositol Complete 40:1 $37; Metabolism Plus $49; T. Relief Tea $27; Berberine…,Myo/D-chiro inositol 40:1,Non-Rx supplement,"Inositol Complete $37 (Subscribe & Save $31, 90-day interval); PCOS Daily Ritual Bundle $99/mon…",$99/mo for the Daily Ritual Bundle; $29+/mo for the…,None published,Subscribe & Save on inositol; bundle pricing,"90-day money back guarantee; ""Update or cancel anytime""",None (no Rx),Founder-dietitian with PCOS (Tallene) plus trainer husband; community…,"""START MY DAILY RITUAL"" / ""Shop Now"""," 10,000+ PCOS women, 3M+ social followers, 500,000+ women helped; Verified Cu…",Podcast/app audience -> supplement subscription,Monthly bundle subscription $99/mo; app membership $29+/mo…," 3M+ social following, 70,000+ orders","THE AUDIENCE-FIRST MODEL: content and community acquire, supplements and a $29/mo app monetize. At $99/mo the Daily Rit…",https://ovafit.org/ 2026-08-14
Black Girl Vitamins,PCOS supplement (facial hair clai…,blackgirlvitamins.co,AdLib q=facial%20hair%20women,22 (rendered subset),"SECOND-LARGEST ADVERTISER on ""facial hair women"": 22 of 90 rendered c…",DTC product page,PCOS RELIEF,Myo-inositol + D-chiro-inositol + zinc + vitamin D,Non-Rx supplement,$38.00 one-time (1-month supply); $65.00 for 2 months; $98.00 for 3 months; subscription $26.60…,$26.60/mo on subscription; $38.00/mo one-time,None; subscription discount is the offer,Subscribe and save 30%; multi-month supply discounts,No money-back guarantee published,None (no Rx),"Culturally-specific PCOS support for Black women; targets ""excess fac…","""Add to cart"" (ad CTA: ""Start Your Journey…","4.6/5 from 2,504 reviews;  88.1% of users reporting cycle improvements saw po…",Ad -> product page -> subscription,Monthly subscription at 30% off,Established DTC supplement brand,"PROVES THE IDENTITY ANGLE OUTPULLS THE INGREDIENT ANGLE. Same inositol as everyone else, but it wins on cultural specif…",https://blackgirlvitamins.co/products/pcos-relief + Meta Ad Library 2026-…
Nourished Natural Health,PCOS supplement (hirsutism-specif…,nourishednaturalhealth.com,AdLib q=hirsutism,"1 (rendered subset, quiz destinat…",Quiz destination card (quiz.nourishednaturalhealth.com) observed in t…,Quiz-first funnel -> product bundle page,Unwanted Hair & Skin Balance Bundle (AndroEase Plus + Cycle Regulate/Ovulate)…,Myo-inositol plus natural anti-androgen/DHT botanicals,Non-Rx supplement,Hirsutism bundle: $106.00 one-time; $84.80/mo on 1-month subscription (20% off refills); $222.6…,$84.80/mo (1-month subscription) or $26.50/mo equiv…,Quiz-driven personalized recommendation; WELCOME15 for 15%…,Subscribe and save up to 33%; bundle saves up to 25% vs separate; free shipping…,101-Day Results Commitment - refund requires 60 consecutive days of consi…,None (no Rx),"Root-cause androgen framing: ""support balanced androgens and help you…","""Take Our 2-Min Quiz"" / ""Click to get your…",4.6/5 from 323 reviews on the bundle;  over 5 million doses delivered; 4.8/5…,Quiz -> personalized bundle -> subscription,"Monthly and quarterly subscriptions, 20-25% off refills", 5M+ doses delivered,"THE CLOSEST STRATEGIC ANALOGUE OUTSIDE RX AND THE MOST DANGEROUS ROW HERE. It has a hirsutism-named SKU, a quiz funnel…",https://nourishednaturalhealth.com/products/unwanted-hair-hirsutism-suppl…
Health & Balance Vitamins (H&B),PCOS supplement (spearmint anti-a…,handbvitamins.com,AdLib q=hirsutism,1 (rendered subset),"Appears in the ""hirsutism"" sweep (~62 total active US) via the ""Drew…",DTC product page,PCOS Skin & Hair Essentials,Spearmint-led anti-androgen formula,Non-Rx supplement,$79.95 (30 servings); $149.45 (60 servings); $199.99 (90 servings),$79.95/mo one-time; $71.96/mo on Subscribe & Save…,None,"Subscribe & Save 10%, intervals of 30/60/90 days",No money-back guarantee published,None (no Rx),Spearmint reduces androgen activity; page cites the spearmint-tea-in-…,"""Add to cart"" (ad CTA: ""Shop now"")","Study-citation credibility play; persona-led ad creative (""the PCOS Mentor"")…",Persona ad -> product page,"Subscribe & Save at 10%, 30/60/90-day intervals",Small DTC supplement brand,MOST EXPENSIVE SUPPLEMENT IN THE SET AT ~$80/MO WITH ZERO REVIEWS AND ZERO GUARANTEE. It leans on a cited study instead…,https://handbvitamins.com/products/skin-hair-support + Meta Ad Library 20…
"Electrolysis (category, national)",Permanent hair removal service,Independent operators nationwide,AdLib q=hirsutism,2+ (rendered subset),Premier Electrolysis of Houston and PEACH FUZZ LASER Studio (3 cards)…,Local site -> phone/DM booking,Electrolysis by the hour or by session,Galvanic/thermolysis needle epilation,n/a - service,$30-$50 per 15-min session; $60-$90 per 30 min; $100-$150 per 60 min; $50-$150/hour nationally…,"$83-$417/mo ($1,500 over 18 months to $5,000 over 1…","Common local intro discounts (e.g. Peach Fuzz Laser: ""GET 2…",Package of 6-12 sessions saves 15-20%,None standard,n/a,The only FDA-recognized permanent hair removal; works on light and fi…,"""BOOK YOUR SPOT!"" / phone or DM booking",Local trust; before/after galleries; installment plans at some studios (e.g…,Local ad -> call/DM -> in-chair sessions,Installment plans at some studios,Fragmented independents,THE MOST EFFECTIVE OPTION AND THE MOST PAINFUL TO BUY: 12-18 months of appointments at $83-$417/mo. This is the ceiling…,costhelper.com + thervo.com + https://www.peachfuzzlaser.com/ + https://w…
Agency (withagency.com),Personalized Rx anti-aging skinca…,withagency.com,AdLib q=withagency.com,~6,Meta Ad Library exact-phrase query on the brand domain returned ~6 ac…,Trial-first landing page with a skin quiz,"Future Formula (wrinkles, fine lines, texture, firmness), Dark Spot Formula (…","Personalized Rx blends drawn from tretinoin, azelaic acid, tranexamic…",Compounded,Future Formula $80 every 2 months with shipping included; Dark Spot plus Future Formula bundle…,$40/month for the single formula; $65/month for the…,A trial is promoted as 'Start your trial' but the trial pri…,Two-formula bundle framed as a $10/month saving; refills ship every 2 months,None stated,Not disclosed; the page says only…,"Prescription formulas that adapt as your skin evolves, personalized b…",Start your trial / Start skin quiz,"Vegan, cruelty-free, unscented and paraben-free product attributes; 'Cancel a…",Landing page to skin quiz to Rx subscription,"Subscription billed every 2 months, the same cadence Musely…",UNVERIFIED,"THE PRICING-ARCHITECTURE MATCH. They bill $80 every 2 months and communicate it as $40/month, the identical advertised-…","https://withagency.com/ + Meta Ad Library, verified 2026-08-14"
Curology,Personalized Rx skincare,curology.com,AdLib q=Curology,~63 (measured 2026-08-14),Meta Ad Library exact-phrase query returned ~63 active US ads on 2026…,Quiz-first funnel,"Custom Formula Rx (acne, rosacea, dark spots), DayPrime Rx, HydroTret Rx, Bod…",Custom compounded Rx formula; ingredients are personalized per patien…,Compounded,First box $5.45 shipping and handling only for a 30-day trial; the ongoing subscription price i…,UNVERIFIED for the ongoing price; the entry price i…,"Free 30-day first box for new subscribers, pay $5.45 S&H, r…",Retail add-on products from $12 to $35 cross-sold alongside the Rx formula,No money-back guarantee. Instead they offer unlimited provider messaging…,Included in the trial and not sep…,Personalization and provider access; a custom formula rather than an…,Get your formula,'1M+ patients treated'; '5K+ 5-star reviews' dated 12/03/2021 on the page its…,Quiz to Rx to subscription box,Monthly subscription after the 30-day trial box,Reported annual revenue around $168.6M (2026 estimate). Note on…,THE TRIAL-OFFER TEMPLATE WORTH COPYING. $5.45 shipping-only for a 30-day supply is the lowest-friction entry mechanic i…,https://curology.com/ + https://incfact.com/company/curology-sandiego-ca/…
Dermatica,Personalized Rx skincare (US and…,dermatica.com,AdLib q=Dermatica,~12,Meta Ad Library exact-phrase query returned ~12 active US ads on 2026…,Free-trial-first landing page,"Personalized prescription formulas for acne, aging, hyperpigmentation, melasm…",Personalized Rx actives blended into a 'SmartBase' cream containing h…,Compounded,"28-day free trial for a $4.99 prescribing fee, against a stated regular prescribing fee of $29…",$4.99 for month one; the ongoing per-month price is…,"28-day free trial, cancel easily anytime, just pay a $4.99…",Routine-essentials cross-sell alongside the Rx formula,None stated,"$4.99 prescribing fee, bundled in…",Free trial and low-friction entry to personalized prescription skinca…,Start your free trial / Start consultation,Google 4.7/5 from 317 reviews and Facebook 4.9/5 from 784 reviews shown side…,Free trial to consultation to subscription,"Subscription with shipments every 56 days, a 2-month cadence",UNVERIFIED,THE DISCOUNT-ANCHOR TEMPLATE. Showing $29.95 struck through against $4.99 is the cleanest price-anchor mechanic in the…,"https://dermatica.com/ + Meta Ad Library, verified 2026-08-14"
Twentyeight Health,Reproductive health telehealth (e…,twentyeighthealth.com,AdLib q=Twentyeight%20Health,~2,Meta Ad Library exact-phrase query returned ~2 active US ads on 2026-…,Subscription plan page with a virtual visit…,"Birth control (pill, patch, ring, shot), emergency contraception, herpes trea…",No hirsutism or facial hair product,Generic,Complete Care plan at $19.99/month; as low as $16/mo without insurance; $0 prescriptions with i…,$19.99/month,None,"Membership includes unlimited provider messaging, free shipping, annual renewal…",None stated,Included in the $19.99/month subs…,"Affordable reproductive care for everyone, including Medicaid patients",Get Started / Start My Virtual Visit Today,"Media logos from Forbes, Business Insider, Fast Company and Shape used in pla…",Virtual visit to subscription,$19.99/month membership,Donates 1% of revenues to the National Institute for Reproducti…,LOW PRICE FLOOR AND LOW AD SPEND. At $19.99/month all-in they set the cheapest recurring price in the women's telehealt…,"https://www.twentyeighthealth.com/ + Meta Ad Library, verified 2026-08-14"
Existing rosacea Rx telehealth supply (…,Rosacea / facial redness,redboxrx.com; sesamecare.com; mus…,AdLib q=rosacea%20treatment,0 visible on rosacea keywords,None of these brands appeared among the visible advertisers on either…,Condition sub-pages inside broad multi-cond…,Rosacea creams and oral meds as one SKU among dozens,,Mostly generic; Musely an…,RedBox Rx rosacea medications from $16/mo with a $25 online consult (UNVERIFIED - the RedBox Rx…,$16-$59 (UNVERIFIED),,,,$25 RedBox Rx; included at Sesame…,"Rosacea as a checkbox in a broad catalogue, not as a brand",,,Platform quiz -> Rx,,,CRITICAL NUANCE THAT CORRECTS THE OBVIOUS READ. Rosacea supply is NOT a vacuum - at least six platforms already sell it…,Meta Ad Library 2026-08-14 + web search 2026-08-14 (pricing UNVERIFIED -…
KEYWORD SWEEP: 'rosacea treatment',Rosacea / facial redness,n/a,AdLib q=rosacea%20treatment,~800,~800 active US results on 2026-08-14. Every visible advertiser was ei…,Local clinic lead forms and cosmetic produc…,,,Local in-clinic procedure…,,,,,,,Demand proof + white space,,,,,,"STRONGEST UNCLAIMED VERTICAL IN THIS DATASET. Real, funded demand (~800 active ads on the treatment-intent term, ~3,100…",Meta Ad Library 2026-08-14
KEYWORD SWEEP: 'rosacea' (broad),Rosacea / facial redness,n/a,AdLib q=rosacea,"~3,100","~3,100 active US results on 2026-08-14. Visible field is cosmetic ski…",,,,Predominantly OTC cosmetic,,,,,,,Demand proof,,,,,,Broad rosacea demand is ~4x the treatment-intent term and is being monetised almost entirely by cosmetics. Confirms the…,Meta Ad Library 2026-08-14
Dr. B,Rosacea / multi-condition telehea…,drb.ai,AdLib q=Dr.%20B,UNVERIFIED,UNVERIFIED at brand level - 'Dr. B' is too generic a keyword to isola…,Condition landing page -> AI intake,Consult only; prescription sent to the patient's chosen pharmacy,"Standard generics - metronidazole, azelaic acid",Generic (no compounding…,"$19 consult, no membership required. Medication paid separately at the pharmacy: metronidazole…","~$42-49 first month (consult + med), then med cost…",None,None. Offers discount-card assistance instead.,None stated,$19,"Cheapest legitimate route to a real prescription; no subscription, no…",'Get started'; 'See if rosacea treatment is…,"Price-led headline ($19), 'no membership required' friction-remover",AI intake -> provider review -> e-Rx to patient's o…,One-time. Refill-assessment reminders only.,UNVERIFIED,"THE PRICE FLOOR, AND THE MOST IMPORTANT CONSTRAINT ON ANY ROSACEA PLAY. Because it never touches fulfillment it can sel…",https://drb.ai/care/dermatology/rosacea 2026-08-14
GoodRx Care,Routine and urgent conditions (UT…,https://www.goodrx.com/care,AdLib q=goodrx,215 (brand keyword); 'goodrx care…,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,UNVERIFIED - goodrx.com/care and /care/pric…,"GoodRx Care telehealth visits plus GoodRx Companion, the renamed subscription…",N/A - no formulated product.,Generic-first by design…,SECONDARY SOURCES ONLY - primary site inaccessible. GoodRx Companion membership $14.99/month (c…,$14.99/mo membership plus $19 per visit when used…,UNVERIFIED - primary site inaccessible.,UNVERIFIED - primary site inaccessible.,UNVERIFIED - no guarantee language found in any accessible source.,Three-part structure: membership…,Price transparency on generics - the cheapest path to the same molecu…,UNVERIFIED - could not capture. Do not quot…,UNVERIFIED - could not capture.,Membership -> discounted per-visit telehealth -> e-…,"GoodRx Companion, single tier at $14.99/mo per secondary so…","Public company, NASDAQ: GDRX. FY2025 revenue $796.9M; FY2026 gu…",The lowest-cost competitor in the set and the clearest argument for why a compounded brand should not sell a plain mole…,https://hitconsultant.net/2026/05/27/goodrx-launches-companion-healthcare…
Amino Co (The Amino Company),Supplements (non-Rx),aminoco.com,AdLib q=Amino%20Co,UNVERIFIED,Not separately queried in this pass. The two-token brand name is high…,Ecommerce product catalog,"Essential amino acid supplements: Perform for athletic performance, Life for…",Non-prescription essential amino acid formulations,Neither; OTC dietary supp…,Heal $99.00; Life $95.00; Purity $99.00,$95 to $99 per unit; subscription cadence not publi…,None observed,None observed,"60 Day Money back guarantee with a full refund if unsatisfied, stated wit…",None; no prescription involved,Patented amino acid science backed by decades of research,Shop All Products / Learn More,"5-star testimonials from named users;  'patented or patent pending', '40 year…",Direct ecommerce,Not published,UNVERIFIED,"NOT A COMPETITOR, BUT A USEFUL PRICE AND GUARANTEE COMPARABLE. They sell a non-prescription supplement at $95 to $99, t…",https://www.aminoco.com/ + verified 2026-08-14
Honeydew Care,Teledermatology membership,honeydewcare.com / honeydew.com,AdLib q=Honeydew%20Care,~540,Meta Ad Library exact-phrase query returned ~540 active US ads on 202…,Membership and pricing page with an app reg…,"Accutane, Low Dose Accutane, Custom Compounding, Dupixent, Spironolactone, an…",Custom compounding is offered as a named service line; there is no fi…,Compounded and brand,"Membership pricing is not rendered publicly. The site promises 'Simple, transparent pricing', a…",UNVERIFIED,$25 off annual plans with code YEARLY25 for new patients; f…,$25 off annual plans via code YEARLY25; annual prepay plans offered alongside m…,None stated,Free first consultation,"Dermatologist-guided care personalized to your skin, with no insuranc…",GET STARTED / START NOW,Site-wide promotional bar carrying a discount code; free-first-consult risk r…,Membership signup to app to Rx,"Monthly or annual membership, with annual discount-incentiv…",UNVERIFIED,"THE HIDDEN HEAVY SPENDER. ~540 active ads makes them the second-biggest Meta buyer in this set, yet they will not show…",https://www.honeydewcare.com/ + https://www.honeydew.com/pricing + Meta A…
TRT Nation,"Testosterone therapy, weight loss…",https://trtnation.com,AdLib q=trt%20nation,42,Retrieved via Apify actor apify/facebook-ads-scraper (onlyTotal mode)…,Conversion-focused homepage with price in t…,"Testosterone therapy, weight loss therapy, sermorelin/anti-aging, sexual heal…",NOT DISCLOSED - the /testosterone-therapy/ product page returned no r…,UNVERIFIED - could not be…,Testosterone Therapy $99/mo (the price appears in the page title itself: 'America's Clinic | Te…,$99/mo for TRT and $219/mo for weight loss as adver…,'New Patients score 10% OFF your 1st treatment'.,No order bumps captured. 'BRING YOUR OWN LABS' functions as a cost-reduction of…,UNVERIFIED - a Cancellation Policy page exists but its terms were not ret…,Not itemized separately from the…,"Price leadership and accessibility - '#1 IN THE NATION', flat-rate do…","'Start TRT', 'Start Now', 'Order Labs', 'Cu…","Embedded Google reviews widget showing 4.9 based on 2,037 reviews; LegitScrip…",Select treatment -> submit or order bloodwork -> 1-…,Monthly subscription; operates in every state except Alabam…,Private. No revenue or funding figures found - UNVERIFIED. Exte…,"The most useful idea here is flat-rate dosing: 'any dose, same price' at $219/mo for GLP-1 removes the single biggest o…",https://trtnation.com ; Meta Ad Library URL in column D - retrieved 2026-…
